VIN_1_10,County,City,State,Postal_Code,Model_Year,Make,Model,Electric_Vehicle_Type,Electric_Range,Base_MSRP,Legislative_District,DOL_Vehicle_ID,Electric_Utility
5YJ3E1EB0J,thurston,olympia,WA,98512,2018,tesla,model 3,battery electric vehicle (bev),215,0,35,104823078,PUGET SOUND ENERGY INC
WA1AAAGE9M,kitsap,port orchard,WA,98367,2021,audi,e-tron,battery electric vehicle (bev),222,0,35,156660507,PUGET SOUND ENERGY INC
5YJ3E1EA2J,yakima,yakima,WA,98902,2018,tesla,model 3,battery electric vehicle (bev),215,0,14,269374108,PACIFICORP
WBY1Z4C51E,yakima,yakima,WA,98908,2014,bmw,i3,plug-in hybrid electric vehicle (phev),72,0,14,8045817,PACIFICORP
5YJSA1DPXC,thurston,olympia,WA,98502,2012,tesla,model s,battery electric vehicle (bev),265,59900,22,188634442,PUGET SOUND ENERGY INC
5YJSA1H27F,yakima,yakima,WA,98908,2015,tesla,model s,battery electric vehicle (bev),208,0,14,109175566,PACIFICORP
3C3CFFGE7H,king,seattle,WA,98103,2017,fiat,500,battery electric vehicle (bev),84,0,43,9411349,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
1FMCU0LZ4M,kitsap,silverdale,WA,98383,2021,ford,escape,plug-in hybrid electric vehicle (phev),38,0,23,260383966,PUGET SOUND ENERGY INC
5YJSA1H14E,snohomish,snohomish,WA,98296,2014,tesla,model s,battery electric vehicle (bev),208,69900,1,225773271,PUGET SOUND ENERGY INC
5YJYGDEEXL,snohomish,everett,WA,98208,2020,tesla,model y,battery electric vehicle (bev),291,0,44,121781950,PUGET SOUND ENERGY INC
1G1RD6E42C,yakima,yakima,WA,98901,2012,chevrolet,volt,plug-in hybrid electric vehicle (phev),35,0,14,222080204,PACIFICORP
1FADP5CU9G,thurston,olympia,WA,98502,2016,ford,c-max,plug-in hybrid electric vehicle (phev),19,0,22,201044532,PUGET SOUND ENERGY INC
1N4AZ1CP3J,island,coupeville,WA,98239,2018,nissan,leaf,battery electric vehicle (bev),151,0,10,290902181,PUGET SOUND ENERGY INC
1FADP3R44D,kitsap,poulsbo,WA,98370,2013,ford,focus,battery electric vehicle (bev),76,0,23,121439048,PUGET SOUND ENERGY INC
5YJ3E1EB3J,island,greenbank,WA,98253,2018,tesla,model 3,battery electric vehicle (bev),215,0,10,127230512,PUGET SOUND ENERGY INC
1N4AZ0CP7F,thurston,olympia,WA,98506,2015,nissan,leaf,battery electric vehicle (bev),84,0,22,103818438,PUGET SOUND ENERGY INC
5YJ3E1EBXJ,king,issaquah,WA,98029,2018,tesla,model 3,battery electric vehicle (bev),215,0,5,475802505,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJ3E1EAXJ,king,renton,WA,98055,2018,tesla,model 3,battery electric vehicle (bev),215,0,11,261038984,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1G1FW6S03L,kitsap,port orchard,WA,98367,2020,chevrolet,bolt ev,battery electric vehicle (bev),259,0,26,264657851,PUGET SOUND ENERGY INC
5YJ3E1EA2L,kitsap,bainbridge island,WA,98110,2020,tesla,model 3,battery electric vehicle (bev),266,0,23,2254542,PUGET SOUND ENERGY INC
1N4AZ1CP7J,snohomish,bothell,WA,98021,2018,nissan,leaf,battery electric vehicle (bev),151,0,1,476219747,PUGET SOUND ENERGY INC
5YJSA1E25H,snohomish,woodinville,WA,98077,2017,tesla,model s,battery electric vehicle (bev),210,0,1,350319504,PUGET SOUND ENERGY INC
5YJ3E1EB1K,king,issaquah,WA,98029,2019,tesla,model 3,battery electric vehicle (bev),220,0,5,476823931,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJXCDE26J,snohomish,bothell,WA,98021,2018,tesla,model x,battery electric vehicle (bev),238,0,1,109898680,PUGET SOUND ENERGY INC
5YJSA1DN5C,snohomish,lynnwood,WA,98037,2012,tesla,model s,battery electric vehicle (bev),265,59900,32,136165669,PUGET SOUND ENERGY INC
1G1FW6S00H,kitsap,suquamish,WA,98392,2017,chevrolet,bolt ev,battery electric vehicle (bev),238,0,23,188034661,PUGET SOUND ENERGY INC
KNDJX3AE8G,yakima,yakima,WA,98908,2016,kia,soul,battery electric vehicle (bev),93,31950,14,169289970,PACIFICORP
5YJYGDEF3L,kitsap,kingston,WA,98346,2020,tesla,model y,battery electric vehicle (bev),291,0,23,104791375,PUGET SOUND ENERGY INC
1N4BZ0CP3H,kitsap,bremerton,WA,98310,2017,nissan,leaf,battery electric vehicle (bev),107,0,23,227492128,PUGET SOUND ENERGY INC
5YJ3E1EA5J,snohomish,bothell,WA,98012,2018,tesla,model 3,battery electric vehicle (bev),215,0,21,196819689,PUGET SOUND ENERGY INC
WBY1Z2C58E,king,duvall,WA,98019,2014,bmw,i3,battery electric vehicle (bev),81,0,45,8371086,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1N4BZ0CP1H,snohomish,bothell,WA,98021,2017,nissan,leaf,battery electric vehicle (bev),107,0,1,145134853,PUGET SOUND ENERGY INC
5YJXCDE27J,king,seattle,WA,98134,2018,tesla,model x,battery electric vehicle (bev),238,0,11,218860330,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5YJ3E1EB2J,snohomish,lake stevens,WA,98258,2018,tesla,model 3,battery electric vehicle (bev),215,0,44,262700917,PUGET SOUND ENERGY INC
1N4BZ1DP8L,king,seattle,WA,98115,2020,nissan,leaf,battery electric vehicle (bev),215,0,46,259145267,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5YJ3E1EB6K,kitsap,poulsbo,WA,98370,2019,tesla,model 3,battery electric vehicle (bev),220,0,23,261144047,PUGET SOUND ENERGY INC
3FA6P0PU0E,snohomish,bothell,WA,98021,2014,ford,fusion,plug-in hybrid electric vehicle (phev),19,0,1,256753220,PUGET SOUND ENERGY INC
5YJ3E1EA6J,island,coupeville,WA,98239,2018,tesla,model 3,battery electric vehicle (bev),215,0,10,350193203,PUGET SOUND ENERGY INC
5UXTS1C06M,kitsap,kingston,WA,98346,2021,bmw,x3,plug-in hybrid electric vehicle (phev),17,0,23,166394833,PUGET SOUND ENERGY INC
WAUSPBFF1J,king,seattle,WA,98117,2018,audi,a3,plug-in hybrid electric vehicle (phev),16,0,36,197268032,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
1N4AZ0CP2D,king,seattle,WA,98144,2013,nissan,leaf,battery electric vehicle (bev),75,0,37,236153935,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
3C3CFFGE6E,kitsap,bremerton,WA,98312,2014,fiat,500,battery electric vehicle (bev),87,0,35,348695021,PUGET SOUND ENERGY INC
WBY1Z2C59F,king,seattle,WA,98117,2015,bmw,i3,battery electric vehicle (bev),81,0,36,167141285,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5UXTA6C05P,kitsap,kingston,WA,98346,2023,bmw,x5,plug-in hybrid electric vehicle (phev),30,0,23,220323715,PUGET SOUND ENERGY INC
1G1FZ6S0XK,thurston,lacey,WA,98503,2019,chevrolet,bolt ev,battery electric vehicle (bev),238,0,22,154553129,PUGET SOUND ENERGY INC
5YJ3E1EA7J,thurston,olympia,WA,98506,2018,tesla,model 3,battery electric vehicle (bev),215,0,22,198214327,PUGET SOUND ENERGY INC
5YJSA1E20H,yakima,selah,WA,98942,2017,tesla,model s,battery electric vehicle (bev),210,0,15,348359546,PACIFICORP
1N4AZ0CP7D,yakima,wapato,WA,98951,2013,nissan,leaf,battery electric vehicle (bev),75,0,15,211150110,PACIFICORP
1FADP5CU2F,kitsap,port orchard,WA,98366,2015,ford,c-max,plug-in hybrid electric vehicle (phev),19,0,26,6369121,PUGET SOUND ENERGY INC
1N4AZ0CPXD,yakima,yakima,WA,98902,2013,nissan,leaf,battery electric vehicle (bev),75,0,14,195250156,PACIFICORP
WBY1Z8C38H,king,renton,WA,98059,2017,bmw,i3,plug-in hybrid electric vehicle (phev),97,0,11,109661478,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
3C3CFFGE9H,kitsap,port orchard,WA,98367,2017,fiat,500,battery electric vehicle (bev),84,0,26,108857717,PUGET SOUND ENERGY INC
WMEEJ9AA1E,yakima,yakima,WA,98902,2014,smart,fortwo electric drive,battery electric vehicle (bev),58,0,14,348973390,PACIFICORP
